Path,Transcription,Actual,Previous,,,,,,,
Data/Memos/Dingley Place 35.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, That's more on the money context in a cool car.,,,,,,,
Data/Memos/Dingley Place 21.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madhika, Desuna, Kodega.",,,,,,,
Data/Memos/Dingley Place 46.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," That's Marano Maracordesina, call the car.",,,,,,,
Data/Memos/Dingley Place 52.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano Marica Dyson Accordica,,,,,,,
Data/Memos/Dingley Place 53.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Omatica, Dyson, and Kodega.",,,,,,,
Data/Memos/Dingley Place 47.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, as Marano Maura opened a san evolutator,,,,,,,
Data/Memos/Dingley Place 51.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Asmarano, Madako, Dyson, and Kordika.",,,,,,,
Data/Memos/Dingley Place 45.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As more on our room, I could at least know called a car.",,,,,,,
Data/Memos/Dingley Place 44.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Martica, Dyson, and a cold car.",,,,,,,
Data/Memos/Dingley Place 50.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madhika, Deisunook, Orduka.",,,,,,,
Data/Memos/Dingley Place 54.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madoka, Dyson and Goldgar.",,,,,,,
Data/Memos/Dingley Place 40.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, It has Morano Mardicatized in the cool the car.,,,,,,,
Data/Memos/Dingley Place 68.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," That's Moran absorption thoughts, it's all from me.",,,,,,,
Data/Memos/Dingley Place 69.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Mara and I made a decision to call the car.,,,,,,,
Data/Memos/Dingley Place 41.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As more in Mardic Dice than a Kolde Car.,,,,,,,
Data/Memos/Dingley Place 55.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano and Madoka dice in a kodaka.,,,,,,,
Data/Memos/Dingley Place 43.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," And now, as I rank rendered the tires with a cold car. First we'll do a false intercooler. Exorcising of the DC calve is mix.",,,,,,,
Data/Memos/Dingley Place 57.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Asmarano, Madoka, Dyson, and Kodaka.",,,,,,,
Data/Memos/Dingley Place 56.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madhika, Dyson and Kordika.",,,,,,,
Data/Memos/Dingley Place 42.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Marino Marty could die, stand a cold car or...",,,,,,,
Data/Memos/Dingley Place 67.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Hasmorano, Mataka, Dyson, and Kodaka.",,,,,,,
Data/Memos/Dingley Place 66.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Marano Matica dies in a cortical.,,,,,,,
Data/Memos/Dingley Place 58.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madoka, Dyson, and Kodaka.",,,,,,,
Data/Memos/Dingley Place 70.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano Manuka did, I should know Kodega.",,,,,,,
Data/Memos/Dingley Place 64.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Maronyo dog boy,,,,,,,
Data/Memos/Dingley Place 70 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano Manaco dirsit know ko要,,,,,,,
Data/Memos/Dingley Place 65.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Asmarano, Madhika, Dyson, and Kordika.",,,,,,,
Data/Memos/Dingley Place 59.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Matika, Dyson and Kotica.",,,,,,,
Data/Memos/Dingley Place 69 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Mara and I made a decision to call the car.,,,,,,,
Data/Memos/Dingley Place 61.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Morano Matika Dyson had called it.,,,,,,,
Data/Memos/Dingley Place 49.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Asmarano, Madoka, Dysno, Kodaka.",,,,,,,
Data/Memos/Dingley Place 48.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madoka, Desin and Kodaka.",,,,,,,
Data/Memos/Dingley Place 60.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madako, Desune, Kodaka.",,,,,,,
Data/Memos/Dingley Place 62.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Hasmorano, Madoka, Dyson, and Kodega.",,,,,,,
Data/Memos/Dingley Place 63.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Madhika, Dyson, Kodaka.",,,,,,,
Data/Memos/Dingley Place 38.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, Esparanto Marta Cadiz de McCool-de-Cart,,,,,,,
Data/Memos/Dingley Place 10.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As per ATSP Garam持 Д artillery,,,,,,,
Data/Memos/Dingley Place 11.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano and Madoka are dating, they're called a car.",,,,,,,
Data/Memos/Dingley Place 39.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Yeah, that's where I know Martica Dyson a cooler car.",,,,,,,
Data/Memos/Dingley Place 13.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Martica, Deistina, Kodaka.",,,,,,,
Data/Memos/Dingley Place 12.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Moriko, Dastin and Kodaka.",,,,,,,
Data/Memos/Dingley Place 16.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, as maryllano modeke da syll lit,,,,,,,
Data/Memos/Dingley Place 9.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As Morano, Mordica, Dacian and Kordica.",,,,,,,
Data/Memos/Dingley Place 8.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," As more on our market, there's no quarter car.",,,,,,,
Data/Memos/Dingley Place 17.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, and Marano Mitika De Synercocar.,,,,,,,
Data/Memos/Dingley Place 15.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As Marano Mardicur d'Astinuc older car.,,,,,,,
Data/Memos/Dingley Place 29.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar, As moreno bar to get diced in a cooler car,,,,,,,
Data/Memos/Dingley Place 28.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," Osmaranto, Martica, Dice to the Cool-The-Car.",,,,,,,
Data/Memos/Dingley Place 14.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar," That was Marano, Modica, Dacian and Kuldacar.",,,,,,,
