WavPath,Predicted,Actual
MIDI2WAV/random_notes_38.wav,A5 A5 A5 A5,<|MIDI|> E3 C#4 C2 B3 D7 <|/MIDI|>
MIDI2WAV/random_notes_39.wav,A5 A5 A5 A5,<|MIDI|> D1 C#6 F#4 C#5 F1 <|/MIDI|>
MIDI2WAV/random_notes_40.wav,A5 A5 A5 A5,<|MIDI|> B4 C#1 C#1 A#3 D1 <|/MIDI|>
MIDI2WAV/random_notes_41.wav,A5 A5 A5 A5,<|MIDI|> E6 G3 E7 A2 F#4 <|/MIDI|>
MIDI2WAV/random_notes_42.wav,A5 A5 A5 A5,<|MIDI|> C1 E1 F#1 C3 F#6 <|/MIDI|>
MIDI2WAV/random_notes_43.wav,A5 A5 A5 A5,<|MIDI|> F#3 F4 C6 D#5 G#1 <|/MIDI|>
MIDI2WAV/random_notes_44.wav,A1 A1 A1 A2,<|MIDI|> B1 A#0 C#5 F1 G#2 <|/MIDI|>
MIDI2WAV/random_notes_45.wav,A3 A5 A5 A5,<|MIDI|> G3 E2 C#2 G#1 C1 <|/MIDI|>
MIDI2WAV/random_notes_46.wav,A5 A5 A5 A5,<|MIDI|> F#6 C6 A#0 F1 G#3 <|/MIDI|>
MIDI2WAV/random_notes_47.wav,A5 A5 A5 A5,<|MIDI|> E2 A1 B4 D4 C3 <|/MIDI|>
MIDI2WAV/random_notes_48.wav,A5 A5 A5 A5,<|MIDI|> A1 A6 G1 A#6 D3 <|/MIDI|>
MIDI2WAV/random_notes_49.wav,A5 A5 A5 A5,<|MIDI|> B4 D#5 D4 G2 C#4 <|/MIDI|>
MIDI2WAV/random_notes_50.wav,A5 A5 A5 A5,<|MIDI|> F6 F6 D7 E7 E6 <|/MIDI|>
MIDI2WAV/random_notes_51.wav,A5 A5 A5 A5,<|MIDI|> E7 F2 A#0 C4 C7 <|/MIDI|>
MIDI2WAV/random_notes_52.wav,A5 A5 A5 A5,<|MIDI|> D#2 A1 F#4 E3 C#5 <|/MIDI|>
MIDI2WAV/random_notes_53.wav,A5 A5 A5 A5,<|MIDI|> G4 C#4 B6 F1 E7 <|/MIDI|>
MIDI2WAV/random_notes_54.wav,A5 A5 A5 A5,<|MIDI|> A#1 G#5 G#6 A3 A#0 <|/MIDI|>
MIDI2WAV/random_notes_55.wav,A5 A5 A5 A5,<|MIDI|> C#6 A#2 G4 G1 F#1 <|/MIDI|>
MIDI2WAV/random_notes_56.wav,A5 A5 A5 A5,<|MIDI|> F#2 A#5 A#5 D#7 B0 <|/MIDI|>
MIDI2WAV/random_notes_57.wav,A5 A5 A5 A5,<|MIDI|> A2 A4 C#1 D1 G1 <|/MIDI|>
MIDI2WAV/random_notes_58.wav,A5 A5 A5 A5,<|MIDI|> A#0 B7 C4 A5 F7 <|/MIDI|>
MIDI2WAV/random_notes_59.wav,A5 A5 A5 A5,<|MIDI|> D#3 D#7 G#4 C#1 A#1 <|/MIDI|>
MIDI2WAV/random_notes_60.wav,A5 A5 A5 A5,<|MIDI|> F#2 C4 D4 C4 A#6 <|/MIDI|>
MIDI2WAV/random_notes_61.wav,A5 A5 A5 A5,<|MIDI|> G#7 C#6 A3 E5 F#5 <|/MIDI|>
MIDI2WAV/random_notes_62.wav,A5 A5 A5 A5,<|MIDI|> B7 G6 E4 A#0 B0 <|/MIDI|>
MIDI2WAV/random_notes_63.wav,A5 A5 A5 A5,<|MIDI|> A#1 A#2 F2 D#7 B2 <|/MIDI|>
MIDI2WAV/random_notes_64.wav,A5 A5 A5 A5,<|MIDI|> F3 F#4 F#4 C1 D5 <|/MIDI|>
MIDI2WAV/random_notes_65.wav,A5 A5 A5 A5,<|MIDI|> C3 G#4 F#6 B6 G6 <|/MIDI|>
MIDI2WAV/random_notes_66.wav,A5 A5 A5 A5,<|MIDI|> D#3 D7 A4 C#3 B7 <|/MIDI|>
MIDI2WAV/random_notes_67.wav,A5 A5 A5 A5,<|MIDI|> B2 B4 F#5 A#2 A4 <|/MIDI|>
MIDI2WAV/random_notes_68.wav,A5 A5 A5 A5,<|MIDI|> D5 A6 F4 G5 G#2 <|/MIDI|>
MIDI2WAV/random_notes_69.wav,A5 A5 A5 A5,<|MIDI|> D#7 A#4 A#4 A3 C3 <|/MIDI|>
MIDI2WAV/random_notes_70.wav,A5 A5 A5 A5,<|MIDI|> G#3 B0 D#1 A#5 F6 <|/MIDI|>
MIDI2WAV/random_notes_71.wav,A5 A5 A5 A5,<|MIDI|> B1 F#6 C1 F#2 F2 <|/MIDI|>
MIDI2WAV/random_notes_72.wav,A5 A5 A5 A5,<|MIDI|> B5 G#7 B2 C#1 A#3 <|/MIDI|>
MIDI2WAV/random_notes_73.wav,A5 A5 A5 A5,<|MIDI|> F4 C4 B4 G#3 E3 <|/MIDI|>
MIDI2WAV/random_notes_74.wav,A1 A1 A1 A2,<|MIDI|> G#1 A#0 A#2 G1 A3 <|/MIDI|>
MIDI2WAV/random_notes_75.wav,A5 A5 A5 A5,<|MIDI|> D#2 G2 B5 A0 G4 <|/MIDI|>
MIDI2WAV/random_notes_76.wav,A5 A5 A5 A5,<|MIDI|> G#1 D#1 A#0 F2 B6 <|/MIDI|>
MIDI2WAV/random_notes_77.wav,A5 A5 A5 A5,<|MIDI|> F#3 F6 G#6 A#0 A2 <|/MIDI|>
MIDI2WAV/random_notes_78.wav,A1 A1 A5 A5,<|MIDI|> E1 E4 C#4 A#2 A#1 <|/MIDI|>
MIDI2WAV/random_notes_79.wav,A5 A5 A5 A5,<|MIDI|> G6 G4 F3 A#7 G#7 <|/MIDI|>
MIDI2WAV/random_notes_80.wav,A5 A5 A5 A5,<|MIDI|> E4 D7 F#7 F5 B4 <|/MIDI|>
MIDI2WAV/random_notes_81.wav,A5 A5 A5 A5,<|MIDI|> D#3 D#1 F7 G7 E5 <|/MIDI|>
MIDI2WAV/random_notes_82.wav,A5 A5 A5 A5,<|MIDI|> B3 C6 G#4 F#5 C#3 <|/MIDI|>
MIDI2WAV/random_notes_83.wav,A7 D7 A7 A7,<|MIDI|> F#7 A#7 E7 C#4 C#1 <|/MIDI|>
MIDI2WAV/random_notes_84.wav,A5 A5 A5 A5,<|MIDI|> B4 D6 G#7 C3 D#1 <|/MIDI|>
MIDI2WAV/random_notes_85.wav,A5 A5 A5 A5,<|MIDI|> D2 A#5 E4 A#7 C#3 <|/MIDI|>
MIDI2WAV/random_notes_86.wav,A5 A5 A5 A5,<|MIDI|> G#7 D4 C7 D#2 D#1 <|/MIDI|>
MIDI2WAV/random_notes_87.wav,A5 A5 A5 A5,<|MIDI|> A#3 F#1 G2 C4 G#3 <|/MIDI|>
MIDI2WAV/random_notes_88.wav,A5 A5 A5 A5,<|MIDI|> C#2 G#6 G#1 F#2 D7 <|/MIDI|>
MIDI2WAV/random_notes_89.wav,A5 A5 A5 A5,<|MIDI|> C#6 D#2 D1 A3 A#5 <|/MIDI|>
MIDI2WAV/random_notes_90.wav,A5 A5 A5 A5,<|MIDI|> D#7 C4 D#1 A#5 F#5 <|/MIDI|>
MIDI2WAV/random_notes_91.wav,A5 A5 A5 A5,<|MIDI|> F4 E2 B2 C5 A#0 <|/MIDI|>
MIDI2WAV/random_notes_92.wav,A5 A5 A5 A5,<|MIDI|> A4 A3 D#5 D#3 D6 <|/MIDI|>
MIDI2WAV/random_notes_93.wav,A5 A5 A5 A5,<|MIDI|> C#1 G#7 F7 D#3 A4 <|/MIDI|>
MIDI2WAV/random_notes_94.wav,A5 A5 A5 A5,<|MIDI|> D#3 C#5 F7 G7 A#6 <|/MIDI|>
MIDI2WAV/random_notes_95.wav,A5 A5 A5 A5,<|MIDI|> F#1 B5 A#1 C#3 C7 <|/MIDI|>
MIDI2WAV/random_notes_96.wav,A5 A5 A5 A5,<|MIDI|> F#1 C5 A#3 A#1 C#5 <|/MIDI|>
MIDI2WAV/random_notes_97.wav,A5 A5 A5 A5,<|MIDI|> G#1 A4 C#5 D7 G7 <|/MIDI|>
MIDI2WAV/random_notes_98.wav,A5 A5 A5 A5,<|MIDI|> E4 G5 F3 F6 A#6 <|/MIDI|>
MIDI2WAV/random_notes_99.wav,A5 A5 A5 A5,<|MIDI|> D3 C#3 E5 C8 F3 <|/MIDI|>
MIDI2WAV/random_notes_100.wav,A5 A5 A5 A5,<|MIDI|> A#6 D2 A#3 E5 C8 <|/MIDI|>
MIDI2WAV/random_notes_101.wav,A5 A5 A5 A5,<|MIDI|> E3 B5 A4 B7 B1 <|/MIDI|>
MIDI2WAV/random_notes_102.wav,A5 A5 A5 A5,<|MIDI|> F6 D2 F3 C3 E7 <|/MIDI|>
MIDI2WAV/random_notes_103.wav,A5 A5 A5 A6,<|MIDI|> C#6 B1 G7 E6 A1 <|/MIDI|>
MIDI2WAV/random_notes_104.wav,A5 A5 A5 A5,<|MIDI|> G7 E5 D6 B6 C5 <|/MIDI|>
MIDI2WAV/random_notes_105.wav,A5 A5 A5 A5,<|MIDI|> F2 C2 G7 F6 A#3 <|/MIDI|>
MIDI2WAV/random_notes_106.wav,A5 A5 A5 A5,<|MIDI|> A#5 F7 B7 F#3 A3 <|/MIDI|>
MIDI2WAV/random_notes_107.wav,A1 A1 A1 A2,<|MIDI|> D2 D3 G1 A7 A#7 <|/MIDI|>
MIDI2WAV/random_notes_108.wav,A5 A5 A5 A5,<|MIDI|> B2 E5 B0 C5 F#7 <|/MIDI|>
MIDI2WAV/random_notes_109.wav,A5 A5 A5 A5,<|MIDI|> D#3 A#7 D2 C#5 C2 <|/MIDI|>
MIDI2WAV/random_notes_110.wav,A5 A5 A5 A5,<|MIDI|> A#1 F#5 C1 G7 F#6 <|/MIDI|>
MIDI2WAV/random_notes_111.wav,A5 A5 A5 A5,<|MIDI|> D#5 E4 D#4 D6 E6 <|/MIDI|>
MIDI2WAV/random_notes_112.wav,A5 A5 A5 A5,<|MIDI|> G#3 A4 G6 A#3 A#4 <|/MIDI|>
MIDI2WAV/random_notes_113.wav,A5 A5 A5 A5,<|MIDI|> E1 G6 A#4 F3 E2 <|/MIDI|>
MIDI2WAV/random_notes_114.wav,A5 A5 A5 A5,<|MIDI|> G5 C#4 A#2 E7 G5 <|/MIDI|>
MIDI2WAV/random_notes_115.wav,A1 A1 A1 A2,<|MIDI|> A#0 F1 D3 D3 B1 <|/MIDI|>
MIDI2WAV/random_notes_116.wav,A5 A5 A5 A5,<|MIDI|> E4 C1 G#3 C1 A4 <|/MIDI|>
MIDI2WAV/random_notes_117.wav,A5 A5 A5 A5,<|MIDI|> C6 D6 A7 F#3 B4 <|/MIDI|>
MIDI2WAV/random_notes_118.wav,A1 A1 A1 A2,<|MIDI|> A0 B0 E6 A1 E3 <|/MIDI|>
MIDI2WAV/random_notes_119.wav,A5 A5 A5 A5,<|MIDI|> F#5 A5 C3 A#1 A#5 <|/MIDI|>
MIDI2WAV/random_notes_120.wav,A5 A5 A5 A5,<|MIDI|> E4 C8 E7 B6 B3 <|/MIDI|>
MIDI2WAV/random_notes_121.wav,A5 A5 A5 A5,<|MIDI|> G#5 B6 F#1 C1 C7 <|/MIDI|>
MIDI2WAV/random_notes_122.wav,A5 A5 A5 A5,<|MIDI|> G2 B0 G#6 C#7 B5 <|/MIDI|>
MIDI2WAV/random_notes_123.wav,A5 A5 A5 A5,<|MIDI|> C7 D#1 E2 A3 C#6 <|/MIDI|>
MIDI2WAV/random_notes_124.wav,A5 A5 A5 A5,<|MIDI|> G4 D3 B6 A6 D#2 <|/MIDI|>
MIDI2WAV/random_notes_125.wav,A5 A5 A5 A5,<|MIDI|> F#3 A#1 G#3 C3 C#4 <|/MIDI|>
MIDI2WAV/random_notes_126.wav,A5 A5 A5 A5,<|MIDI|> D5 F#6 C#7 G1 C#6 <|/MIDI|>
MIDI2WAV/random_notes_127.wav,A5 A5 A5 A5,<|MIDI|> C3 D2 A#2 E6 B1 <|/MIDI|>
MIDI2WAV/random_notes_128.wav,A5 A5 A5 A5,<|MIDI|> D4 B1 B1 F#4 G7 <|/MIDI|>
MIDI2WAV/random_notes_129.wav,A5 A5 A5 A5,<|MIDI|> B2 E2 G3 G2 G4 <|/MIDI|>
MIDI2WAV/random_notes_130.wav,A5 A5 A5 A5,<|MIDI|> A6 A#4 D#7 F6 C3 <|/MIDI|>
MIDI2WAV/random_notes_131.wav,A5 A5 A5 A5,<|MIDI|> G3 A7 B3 D#6 F3 <|/MIDI|>
MIDI2WAV/random_notes_132.wav,A5 A5 A5 A5,<|MIDI|> F#4 F6 C8 C8 D#4 <|/MIDI|>
MIDI2WAV/random_notes_133.wav,A5 A5 A5 A5,<|MIDI|> G1 G6 A4 G#6 F#7 <|/MIDI|>
MIDI2WAV/random_notes_134.wav,A5 A5 A5 A5,<|MIDI|> C7 D#5 F#4 A1 F#5 <|/MIDI|>
MIDI2WAV/random_notes_135.wav,A5 A5 A5 A5,<|MIDI|> B7 C6 D#7 C3 B2 <|/MIDI|>
MIDI2WAV/random_notes_136.wav,A5 A5 A5 A5,<|MIDI|> G2 A1 G#2 C#6 C7 <|/MIDI|>
MIDI2WAV/random_notes_137.wav,A1 A1 A1 A2,<|MIDI|> D1 C#1 A5 C2 F#7 <|/MIDI|>
MIDI2WAV/random_notes_138.wav,A5 A5 A5 A5,<|MIDI|> A1 E7 C#5 A6 A#5 <|/MIDI|>
MIDI2WAV/random_notes_139.wav,A5 A5 A5 A5,<|MIDI|> E7 G#2 B3 A0 G3 <|/MIDI|>
MIDI2WAV/random_notes_140.wav,A5 A5 A5 A5,<|MIDI|> D#2 F#5 C7 D#7 F#1 <|/MIDI|>
MIDI2WAV/random_notes_141.wav,A5 A5 A5 A5,<|MIDI|> B2 A#1 F5 C#4 A#7 <|/MIDI|>
MIDI2WAV/random_notes_142.wav,A5 A5 A5 A5,<|MIDI|> E2 C#7 C3 C4 A#2 <|/MIDI|>
MIDI2WAV/random_notes_143.wav,A5 A5 A5 A5,<|MIDI|> E4 E6 F#5 F2 G#1 <|/MIDI|>
MIDI2WAV/random_notes_144.wav,A3 A5 A5 A5,<|MIDI|> A7 D#2 A3 G#2 F#1 <|/MIDI|>
MIDI2WAV/random_notes_145.wav,A5 A5 A5 A5,<|MIDI|> A6 G6 A0 A1 B5 <|/MIDI|>
MIDI2WAV/random_notes_146.wav,A5 A5 A5 A5,<|MIDI|> A#4 E6 G1 F#2 G#3 <|/MIDI|>
MIDI2WAV/random_notes_147.wav,A5 A5 A5 A5,<|MIDI|> G#5 C#5 C2 A1 A3 <|/MIDI|>
MIDI2WAV/random_notes_148.wav,A5 A5 A5 A5,<|MIDI|> C1 A#1 A#0 D7 F5 <|/MIDI|>
MIDI2WAV/random_notes_149.wav,A5 A5 A5 A5,<|MIDI|> D#3 F#7 G#5 B0 C7 <|/MIDI|>
MIDI2WAV/random_notes_150.wav,A5 A5 A5 A5 A5,<|MIDI|> F#4 B4 D#3 F#7 G7 <|/MIDI|>
MIDI2WAV/random_notes_151.wav,A5 A5 A5 A5,<|MIDI|> F#3 A4 F#4 A#6 G#7 <|/MIDI|>
MIDI2WAV/random_notes_152.wav,A5 A5 A5 A5,<|MIDI|> C5 F#7 A4 G#6 G#3 <|/MIDI|>
MIDI2WAV/random_notes_153.wav,A5 A5 A5 A5,<|MIDI|> E5 D#4 G6 E2 E2 <|/MIDI|>
MIDI2WAV/random_notes_154.wav,A5 A5 A5 A5,<|MIDI|> A0 D5 C#4 G#2 F6 <|/MIDI|>
MIDI2WAV/random_notes_155.wav,A5 A5 A5 A5,<|MIDI|> A#6 G#7 F2 C#4 F#6 <|/MIDI|>
MIDI2WAV/random_notes_156.wav,A5 A5 A5 A5,<|MIDI|> G2 G6 E6 D#6 G3 <|/MIDI|>
MIDI2WAV/random_notes_157.wav,A5 A5 A5 A5,<|MIDI|> E4 D#5 C#4 B2 D5 <|/MIDI|>
MIDI2WAV/random_notes_158.wav,A5 A5 A5 A5,<|MIDI|> D#4 E5 C5 F7 C#3 <|/MIDI|>
MIDI2WAV/random_notes_159.wav,A5 A5 A5 A5,<|MIDI|> B4 C#2 B4 C4 C5 <|/MIDI|>
MIDI2WAV/random_notes_160.wav,A5 A5 A5 A5,<|MIDI|> A#0 C#3 D5 A#1 C#4 <|/MIDI|>
MIDI2WAV/random_notes_161.wav,A5 A5 A5 A5,<|MIDI|> G2 F5 C2 D#2 F#2 <|/MIDI|>
MIDI2WAV/random_notes_162.wav,A1 A1 A1 A2,<|MIDI|> G#3 C1 A#7 A2 B7 <|/MIDI|>
MIDI2WAV/random_notes_163.wav,A5 A5 A5 A5,<|MIDI|> C#3 B5 A#1 F#2 F7 <|/MIDI|>
MIDI2WAV/random_notes_164.wav,A5 A5 A5 A5,<|MIDI|> A0 E6 A#2 E5 G2 <|/MIDI|>
MIDI2WAV/random_notes_165.wav,A5 A5 A5 A5,<|MIDI|> D7 A#4 A#0 B5 D#1 <|/MIDI|>
MIDI2WAV/random_notes_166.wav,A5 A5 A5 A5,<|MIDI|> B3 G7 C#2 C7 F3 <|/MIDI|>
MIDI2WAV/random_notes_167.wav,A5 A5 A5 A5,<|MIDI|> A#0 A4 D#1 D#3 D6 <|/MIDI|>
MIDI2WAV/random_notes_168.wav,A5 A5 A5 A5,<|MIDI|> D#1 F#6 B3 D#5 D5 <|/MIDI|>
MIDI2WAV/random_notes_169.wav,A5 A5 A5 A5,<|MIDI|> D7 C#5 A#5 D2 C#3 <|/MIDI|>
MIDI2WAV/random_notes_170.wav,A5 A5 A5 A5,<|MIDI|> A5 C8 C#3 A2 D3 <|/MIDI|>
MIDI2WAV/random_notes_171.wav,A5 A5 A5 A5,<|MIDI|> D#4 D1 B4 D#4 F6 <|/MIDI|>
MIDI2WAV/random_notes_172.wav,A5 A5 A5 A5,<|MIDI|> C#4 A#3 B6 F#2 D7 <|/MIDI|>
MIDI2WAV/random_notes_173.wav,A1 A1 A1 A2,<|MIDI|> G#1 B7 E1 F#1 D4 <|/MIDI|>
MIDI2WAV/random_notes_174.wav,A5 A5 A5 A5,<|MIDI|> F6 B7 B5 F7 D6 <|/MIDI|>
MIDI2WAV/random_notes_175.wav,A5 A5 A5 A5,<|MIDI|> C7 B4 A#5 G#5 A1 <|/MIDI|>
MIDI2WAV/random_notes_176.wav,A5 A5 A5 A5,<|MIDI|> G#3 G#4 D#6 B5 C4 <|/MIDI|>
MIDI2WAV/random_notes_177.wav,A5 A5 A5 A5,<|MIDI|> C4 D5 C1 A7 F#6 <|/MIDI|>
MIDI2WAV/random_notes_178.wav,A5 A5 A5 A5,<|MIDI|> C7 C3 G#7 F#3 D4 <|/MIDI|>
MIDI2WAV/random_notes_179.wav,A1 A1 A1 A2,<|MIDI|> A0 G#6 A6 E3 C#2 <|/MIDI|>
MIDI2WAV/random_notes_180.wav,A5 A5 A5 A5,<|MIDI|> G7 A#3 D7 E2 G#1 <|/MIDI|>
MIDI2WAV/random_notes_181.wav,A5 A5 A5 A5,<|MIDI|> A4 A6 A0 A6 A7 <|/MIDI|>
MIDI2WAV/random_notes_182.wav,A5 A5 A5 A5,<|MIDI|> G#2 F#7 G#6 C#1 G#2 <|/MIDI|>
MIDI2WAV/random_notes_183.wav,A5 A5 A5 A5,<|MIDI|> E5 A1 E5 A1 G#1 <|/MIDI|>
MIDI2WAV/random_notes_184.wav,A5 A5 A5 A5,<|MIDI|> F#3 C#7 G7 F#2 A7 <|/MIDI|>
MIDI2WAV/random_notes_185.wav,A5 A5 A5 A5,<|MIDI|> A3 B0 C8 G3 F6 <|/MIDI|>
MIDI2WAV/random_notes_186.wav,A1 A1 A1 A2,<|MIDI|> G#3 C2 D6 B7 G#1 <|/MIDI|>
MIDI2WAV/random_notes_187.wav,A5 A5 A5 A5,<|MIDI|> G#6 C8 A#7 G2 G#7 <|/MIDI|>
MIDI2WAV/random_notes_188.wav,A5 A5 A5 A5,<|MIDI|> D#6 A6 D1 A#1 A7 <|/MIDI|>
MIDI2WAV/random_notes_189.wav,A5 A5 A5 A5,<|MIDI|> A#3 C#2 A#7 E1 G#4 <|/MIDI|>
MIDI2WAV/random_notes_190.wav,A5 A5 A5 A5,<|MIDI|> B7 F5 F5 A#2 E4 <|/MIDI|>
MIDI2WAV/random_notes_191.wav,A5 A5 A5 A5,<|MIDI|> D1 D1 F#5 D#6 B5 <|/MIDI|>
MIDI2WAV/random_notes_192.wav,A5 A5 A5 A5,<|MIDI|> B3 A#0 B4 D5 C#7 <|/MIDI|>
MIDI2WAV/random_notes_193.wav,A5 A5 A5 A5,<|MIDI|> D#3 G#6 C3 A3 G7 <|/MIDI|>
MIDI2WAV/random_notes_194.wav,A5 A5 A5 A5,<|MIDI|> C8 D2 G#5 B1 B6 <|/MIDI|>
MIDI2WAV/random_notes_195.wav,A5 A5 A5 A5,<|MIDI|> C#1 G#6 G3 E7 F5 <|/MIDI|>
MIDI2WAV/random_notes_196.wav,A5 A5 A5 A5,<|MIDI|> C7 A0 D4 F#2 A#2 <|/MIDI|>
MIDI2WAV/random_notes_197.wav,A5 A5 A5 A5,<|MIDI|> C#6 E2 C3 C5 B6 <|/MIDI|>
MIDI2WAV/random_notes_198.wav,A5 A5 A5 A5,<|MIDI|> E4 G1 D6 G#4 A3 <|/MIDI|>
MIDI2WAV/random_notes_199.wav,A1 A1 A1 A2,<|MIDI|> C#1 C1 A#1 F#6 D#1 <|/MIDI|>
MIDI2WAV/random_notes_200.wav,A5 A5 A5 A5,<|MIDI|> C#7 E6 C2 D#3 D#7 <|/MIDI|>
MIDI2WAV/random_notes_201.wav,A5 A5 A5 A5,<|MIDI|> A0 D#1 A#3 D#4 G5 <|/MIDI|>
MIDI2WAV/random_notes_202.wav,A1 A1 A1 A2,<|MIDI|> D#3 G#1 C1 A#7 F7 <|/MIDI|>
MIDI2WAV/random_notes_203.wav,A5 A5 A5 A5,<|MIDI|> B1 F6 D5 D2 G#7 <|/MIDI|>
MIDI2WAV/random_notes_204.wav,A5 A5 A5 A5,<|MIDI|> G#2 F6 F#3 C#6 G3 <|/MIDI|>
MIDI2WAV/random_notes_205.wav,A5 A5 A5 A5,<|MIDI|> E5 E5 D4 C#1 C#7 <|/MIDI|>
MIDI2WAV/random_notes_206.wav,A5 A5 A5 A5,<|MIDI|> B6 F3 C#1 E1 B1 <|/MIDI|>
MIDI2WAV/random_notes_207.wav,A5 A5 A5 A5,<|MIDI|> D#7 D6 A5 A3 A#2 <|/MIDI|>
MIDI2WAV/random_notes_208.wav,A5 A5 A5 A5,<|MIDI|> C#4 G#5 C#3 G4 C#6 <|/MIDI|>
MIDI2WAV/random_notes_209.wav,A5 A5 A5 A5,<|MIDI|> B7 E3 F2 B1 B5 <|/MIDI|>
MIDI2WAV/random_notes_210.wav,A5 A5 A5 A5,<|MIDI|> F#6 C7 B0 G#5 E5 <|/MIDI|>
MIDI2WAV/random_notes_211.wav,A5 A5 A5 A5,<|MIDI|> D#3 F#3 G#6 F4 C5 <|/MIDI|>
