Path,Transcription,Actual
Data/Memos/Dingley Place 69 2.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 61.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 49.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 48.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 60.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 62.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 63.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 38.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 10.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 11.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 39.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 13.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 12.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 16.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 9.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 8.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 17.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 15.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 29.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 28.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/Dingley Place 14.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
Data/Memos/output.wav,Asmorandamardicadaistinaculdacar,Asmoranomardicadaistinaculdacar
